effect_type,effect_label,feature,feature_label,feature_family,mean_chatgpt_raw,mean_xai_raw,mean_chatgpt_standardized,mean_xai_standardized,abs_standardized_model_gap,n_pairs,mean_chatgpt,mean_xai,mean_difference_xai_minus_chatgpt,median_difference_xai_minus_chatgpt,sd_difference,se_difference,ci95_low,ci95_high,bootstrap_ci95_low,bootstrap_ci95_high,paired_t_statistic,paired_t_p_value,cohens_dz,wilcoxon_statistic,wilcoxon_p_value,holm_adjusted_p_all_features,bh_fdr_p_all_features
filmstock_cinestill_minus_portra,CineStill minus Portra,highlight_lab_a,highlight_lab_a,color,-0.37327517387974596,-0.19554081600573328,-0.07394250585702938,-0.038734903750792346,0.03520760210623704,72,-0.37327517387974596,-0.19554081600573328,0.17773435787401265,0.9487322084605694,5.8579465440231395,0.6903656208511771,-1.1988155932108195,1.554284308958845,-1.2063983678766008,1.522802762466017,0.25744960714422227,0.7975764026356571,0.03034072717091537,1166.0,0.4062388341618619,1.0,0.9184688888619279
filmstock_cinestill_minus_portra,CineStill minus Portra,halation_bright_threshold_luma,halation_bright_threshold_luma,film_response,-0.03612480809291204,-0.03273419704702166,-0.3735304650863906,-0.33847155162057807,0.03505891346581255,72,-0.03612480809291204,-0.03273419704702166,0.0033906110458903843,-0.00587037205696106,0.17098750266052232,0.020151070438234695,-0.03678948220941773,0.0435707043011985,-0.03579647087802489,0.04358661408639615,0.16825959972116566,0.866857448203175,0.01982958399376173,1301.0,0.9418443019543234,1.0,0.9450602951143798
scan_pushed_minus_clean,Pushed scan minus clean scan,hue_hist_12bin_08,hue_hist_12bin_08,color,0.014400879542032877,0.015800330373975966,0.3586492807029821,0.3935021542924466,0.034852873589464595,72,0.014400879542032877,0.015800330373975966,0.0013994508319430882,0.0065937042236328125,0.06880927449614294,0.008109250767458205,-0.014769935954027247,0.017568837617913422,-0.014719815717803108,0.017397352059682205,0.17257461534658372,0.8634768072771339,0.020338113462038225,1260.0,0.761865895509709,1.0,0.9441755743123802
scan_pushed_minus_clean,Pushed scan minus clean scan,rgb_cov_r_g,rgb_cov_r_g,color,-0.003736979985328688,-0.0032346675005230897,-0.25890421325642377,-0.22410316556602947,0.034801047690394334,72,-0.003736979985328688,-0.0032346675005230897,0.000502312484805599,0.0015232042617023892,0.027009623233130626,0.003183114624240065,-0.0058446378092902995,0.006849262778901497,-0.005684212489044804,0.006573528047046688,0.15780533977016956,0.8750581377636102,0.01859753764315568,1255.0,0.740576568678468,1.0,0.9485778022989209
lighting_warm_minus_cool,Warm practical minus cool ambient,fft_low_freq_log_power_mean,fft_low_freq_log_power_mean,tone_texture,-0.08927400713011581,-0.07303340916308836,-0.18501216741324678,-0.15135502210792184,0.03365714530532489,72,-0.08927400713011581,-0.07303340916308836,0.016240597967027457,0.05880867156030334,0.5283999228013484,0.06227252809854695,-0.10792729643405059,0.14040849236810551,-0.10455226909124543,0.13812741428586528,0.26079875770141425,0.795002651274521,0.030735428349282896,1259.0,0.757592999689803,1.0,0.917310751470601
lighting_warm_minus_cool,Warm practical minus cool ambient,lab_mean_a,Lab red minus green,color,5.172206870176726,5.037260810120238,1.2867755407101724,1.253202775011812,0.03357276569836071,72,5.172206870176726,5.037260810120238,-0.1349460600564877,-0.10020655393600464,3.695633467007566,0.43553458088350017,-1.003377349076567,0.7334852289635916,-0.9997978354338557,0.6944801325961534,-0.30984005858442737,0.7575901716231477,-0.03651500108471429,1269.0,0.8006343602317088,1.0,0.9121051327550278
lighting_warm_minus_cool,Warm practical minus cool ambient,shadow_saturation,shadow_saturation,color,0.0479742634213633,0.043123599969678454,0.3161839751227653,0.2842147077957039,0.03196926732706144,72,0.0479742634213633,0.043123599969678454,-0.004850663451684846,0.003064468502998352,0.28365721767969565,0.03342932369230357,-0.0715068417195182,0.0618055148161485,-0.07152962000109254,0.05851423022751178,-0.14510205160990478,0.8850414316474867,-0.017100440776240677,1278.0,0.8399003340418381,1.0,0.9552568957818813
lighting_warm_minus_cool,Warm practical minus cool ambient,shadow_red_excess,shadow_red_excess,color,-0.002461814507518688,-0.0013787307778127594,-0.07145287301363182,-0.04001693664821864,0.031435936365413183,72,-0.002461814507518688,-0.0013787307778127594,0.0010830837297059286,0.0019279373809695244,0.053251178987837385,0.006275711628079735,-0.011430329849615332,0.013596497309027188,-0.011233658811943315,0.013276083817416084,0.17258341266986077,0.8634699175133222,0.020339150236529144,1282.0,0.8574868674819008,1.0,0.9441755743123802
filmstock_cinestill_minus_portra,CineStill minus Portra,palette_top1_share,palette_top1_share,color,0.040608723958333336,0.042958577473958336,0.5229529516117284,0.5532140066774371,0.030261055065708732,72,0.040608723958333336,0.042958577473958336,0.002349853515625,-0.0032958984375,0.10328861041601266,0.012172679474083004,-0.021921779990633383,0.026621487021883383,-0.021004909939236108,0.025631544325086804,0.1930432425028607,0.8474762591655552,0.022750364306001993,1291.5,0.8995226781310202,1.0,0.9419341033672828
filmstock_cinestill_minus_portra,CineStill minus Portra,halation_index_ring_minus_background,Halation index,film_response,0.01694089028018829,0.01890579294680113,0.2562670461456492,0.2859903838220316,0.02972333767638248,72,0.01694089028018829,0.01890579294680113,0.001964902666612842,0.005811606300994754,0.08529448370842484,0.010052051304672118,-0.018078318365582095,0.02200812369880778,-0.016959171242670993,0.02220088993224307,0.19547280520738788,0.8455811623504638,0.02303669101661684,1255.0,0.740576568678468,1.0,0.9419341033672828
