model_key,scene_key,film_key,light_key,scan_key,condition_id,n_images,n_runs,n_features,mean_distance_to_condition_centroid,sd_distance_to_condition_centroid,mean_pairwise_seed_distance,sd_pairwise_seed_distance,mean_run_centroid_distance,sd_run_centroid_distance
chatgpt_image_2,backstage,portra400,cool_ambient,pushed_scan,backstage_portra400_cool_ambient_pushed_scan,6,3,23,2.3765271990415786,0.52571329535719,3.69137284087431,0.7182054676429437,1.5345907184851646,0.278013256540241
chatgpt_image_2,backstage,portra400,warm_practical,clean_scan,backstage_portra400_warm_practical_clean_scan,6,3,23,2.9604616551048415,0.9042460490807502,4.584638564984173,1.3299345191641618,1.6913545909620886,0.32442321599168583
chatgpt_image_2,backstage,portra400,warm_practical,pushed_scan,backstage_portra400_warm_practical_pushed_scan,6,3,23,3.436196186589322,1.3171610002215073,5.405168685999807,1.6664259773487482,2.3255266356008177,0.637778540670161
chatgpt_image_2,corner_store,cinestill800t,cool_ambient,clean_scan,corner_store_cinestill800t_cool_ambient_clean_scan,6,3,23,2.2009969787750676,0.4059188803924172,3.4052811947692923,0.6211717678710954,1.185860446413426,0.17028659554327602
chatgpt_image_2,corner_store,cinestill800t,cool_ambient,pushed_scan,corner_store_cinestill800t_cool_ambient_pushed_scan,6,3,23,2.824881877851402,0.5922548155493945,4.359889491914287,0.9513862715589498,2.102797177547138,0.20504232166586106
chatgpt_image_2,corner_store,cinestill800t,warm_practical,clean_scan,corner_store_cinestill800t_warm_practical_clean_scan,6,3,23,3.3429790216253004,0.6291464484458286,5.192440587470445,0.835441858991404,1.8612345239179489,0.31418859405468375
chatgpt_image_2,corner_store,cinestill800t,warm_practical,pushed_scan,corner_store_cinestill800t_warm_practical_pushed_scan,6,3,23,2.780207450204111,0.7040527064685566,4.337182910558899,0.8850866459620395,1.8693863380821696,0.18915358462831636
chatgpt_image_2,corner_store,portra400,cool_ambient,clean_scan,corner_store_portra400_cool_ambient_clean_scan,6,3,23,2.3918779660033525,0.6164136655882878,3.704628264719692,0.9060827331510721,1.7433712330709366,0.5103145208111579
chatgpt_image_2,corner_store,portra400,cool_ambient,pushed_scan,corner_store_portra400_cool_ambient_pushed_scan,6,3,23,2.3361599165369986,0.47905214986225236,3.6106525698720215,0.746788493991219,1.6510484502188156,0.5887475336193502
chatgpt_image_2,corner_store,portra400,warm_practical,clean_scan,corner_store_portra400_warm_practical_clean_scan,6,3,23,3.3214699077995413,1.0143896333678617,5.168467394226216,1.3972321188150314,2.175155189555714,0.2605454426019465
chatgpt_image_2,corner_store,portra400,warm_practical,pushed_scan,corner_store_portra400_warm_practical_pushed_scan,6,3,23,3.955637841561774,0.8512729257623383,6.100233197012243,1.3846566971265422,2.3900429433071753,0.16962547084390556
xai_grok_imagine,apartment,cinestill800t,cool_ambient,clean_scan,apartment_cinestill800t_cool_ambient_clean_scan,6,3,23,3.0658914110718514,0.4197286029306492,4.694894565808249,0.9652343699158371,2.234842219014432,0.5725569552965922
xai_grok_imagine,apartment,cinestill800t,cool_ambient,pushed_scan,apartment_cinestill800t_cool_ambient_pushed_scan,6,3,23,3.9808494935284564,1.667497757013248,6.299741892406586,2.0461305165345682,2.9038856462712364,0.2599589659615337
xai_grok_imagine,apartment,cinestill800t,warm_practical,clean_scan,apartment_cinestill800t_warm_practical_clean_scan,6,3,23,3.454117684766525,0.9843020494634417,5.341521736297373,1.47844373135801,2.238796608394674,0.4830148448340683
