metric,metric_label,method,term,estimate,standard_error,ci95_low,ci95_high,p_value
distance_color_features,Color features,OLS HC3,Scan effect,-0.05984522749682786,0.2632876148110605,-0.5773672577219903,0.45767680272833455,0.8203009499749099
distance_color_features,Color features,OLS HC3,xAI by lighting effect,-1.702613962521925,0.41064483157826975,-2.509783517733864,-0.895444407309986,4.0897049892629767e-05
distance_color_features,Color features,OLS HC3,xAI by scan effect,-0.2834156865505736,0.3581004828709657,-0.9873032927070018,0.4204719196058546,0.4291318960251478
distance_color_features,Color features,OLS HC3,Backstage scene,-0.6881147991737105,0.20667034938217071,-1.094349094988796,-0.28188050335862513,0.0009465232281502534
distance_color_features,Color features,OLS HC3,Corner store scene,-0.6037501593104443,0.19129580232332807,-0.9797640180062434,-0.22773630061464523,0.0017137696401416935
distance_color_features,Color features,OLS HC3,Run block 2,0.01309332514492241,0.1933065940414237,-0.3668729754956129,0.39305962578545767,0.9460299664825915
distance_color_features,Color features,OLS HC3,Run block 3,-0.029975577736212806,0.2014487925924271,-0.4259463042880676,0.36599514881564205,0.881782708810694
distance_color_features,Color features,OLS HC3,Within-run replicate 2,-0.015840099047495393,0.15937455326432717,-0.3291090784135463,0.2974288803185555,0.9208766163481403
distance_color_features,Color features,Two-stage WLS,Intercept,6.125215685503503,0.25842216256670036,5.617257260179664,6.633174110827341,0.0
distance_color_features,Color features,Two-stage WLS,xAI model,0.11137989256581324,0.25114230829825485,-0.3822691435243055,0.6050289286559319,0.6576369010597403
distance_color_features,Color features,Two-stage WLS,Lighting effect,3.4285939901504454,0.30228998006007235,2.834408333868521,4.02277964643237,0.0
distance_color_features,Color features,Two-stage WLS,Scan effect,-0.08610964182247322,0.2604277313188495,-0.5980102427519258,0.42579095910697934,0.741075649069121
distance_color_features,Color features,Two-stage WLS,xAI by lighting effect,-1.9004177773910564,0.3947363545324108,-2.676317394803333,-1.1245181599787797,2.062201148067544e-06
distance_color_features,Color features,Two-stage WLS,xAI by scan effect,-0.40020795288132566,0.34994657483393626,-1.0880681167874948,0.28765221102484345,0.253428687537099
distance_color_features,Color features,Two-stage WLS,Backstage scene,-0.7596767064892145,0.18176519709532568,-1.1169570665720618,-0.40239634640636707,3.5559221745806724e-05
distance_color_features,Color features,Two-stage WLS,Corner store scene,-0.6373927738860905,0.18176519709532576,-0.9946731339689381,-0.2801124138032429,0.0005025165614034321
distance_color_features,Color features,Two-stage WLS,Run block 2,0.0985864383267345,0.1830054833833565,-0.2611318468301912,0.45830472348366025,0.5903733788379226
distance_color_features,Color features,Two-stage WLS,Run block 3,-0.09603349484811902,0.19261239289488738,-0.4746352634463935,0.2825682737501555,0.6183327265197112
distance_color_features,Color features,Two-stage WLS,Within-run replicate 2,0.039816053358233905,0.14841066195998778,-0.25190213908203807,0.3315342457985059,0.7886129173694361
distance_color_features,Color features,Huber IRLS,Intercept,5.9010917534146134,0.23929730948749248,5.430725422198248,6.371458084630979,0.0
distance_color_features,Color features,Huber IRLS,xAI model,0.07761950991966962,0.2473138834347414,-0.40850431762863537,0.5637433374679746,0.753790271415784
distance_color_features,Color features,Huber IRLS,Lighting effect,3.4593834117154976,0.25063379050807805,2.9667339257157495,3.9520328977152457,0.0
distance_color_features,Color features,Huber IRLS,Scan effect,0.08438988026480514,0.24775840223583684,-0.4026077000142587,0.571387460543869,0.7335643941235843
distance_color_features,Color features,Huber IRLS,xAI by lighting effect,-1.7084068146493157,0.3524132087206566,-2.401115430609691,-1.0156981986889404,1.7596577226441923e-06
distance_color_features,Color features,Huber IRLS,xAI by scan effect,-0.4089387171208272,0.3487535462788397,-1.0944538464518105,0.27657641221015605,0.2416304525572901
distance_color_features,Color features,Huber IRLS,Backstage scene,-0.6408761330809547,0.17635776111443657,-0.9875275570129294,-0.29422470914897997,0.00031360198649821314
distance_color_features,Color features,Huber IRLS,Corner store scene,-0.5172206646933372,0.17534675032184907,-0.8618848308565221,-0.17255649853015226,0.0033582190489229724
distance_color_features,Color features,Huber IRLS,Run block 2,0.058992389804721754,0.17540479536067308,-0.28578587054537824,0.4037706501548218,0.7367960659748549
distance_color_features,Color features,Huber IRLS,Run block 3,-0.01674201353344907,0.17575663510617998,-0.36221185529173383,0.3287278282248357,0.9241561829298055
distance_color_features,Color features,Huber IRLS,Within-run replicate 2,-0.006936529229232491,0.14323766777102476,-0.28848660777270657,0.2746135493142416,0.9613991362212047
distance_contrast_texture_features,Contrast and texture,OLS HC3,Intercept,5.60810072545285,0.2770239731121847,5.0635783061626745,6.152623144743026,0.0
distance_contrast_texture_features,Contrast and texture,OLS HC3,xAI model,-0.050148748861056774,0.3282054631164528,-0.695274261980639,0.5949767642585254,0.878631714727458
distance_contrast_texture_features,Contrast and texture,OLS HC3,Lighting effect,0.4619299157999013,0.2987480711159287,-0.12529371186946836,1.049153543469271,0.12280305230100419
distance_contrast_texture_features,Contrast and texture,OLS HC3,Scan effect,-0.0019897287944292685,0.2812966919195292,-0.554910667374413,0.5509312097855544,0.9943596273624982
distance_contrast_texture_features,Contrast and texture,OLS HC3,xAI by lighting effect,-0.015386642778068116,0.47855381771874267,-0.9560391056579965,0.9252658201018603,0.9743657713703349
distance_contrast_texture_features,Contrast and texture,OLS HC3,xAI by scan effect,-0.22725026466185214,0.4631268448179673,-1.1375792414121078,0.6830787120884034,0.6239035845043237
distance_contrast_texture_features,Contrast and texture,OLS HC3,Backstage scene,-0.5738838611801733,0.21616531406031275,-0.9987816000162095,-0.1489861223441371,0.008235512486788998
distance_contrast_texture_features,Contrast and texture,OLS HC3,Corner store scene,0.20418101083177784,0.25275671859886273,-0.2926413340255861,0.7010033556891417,0.4196525012024155
distance_contrast_texture_features,Contrast and texture,OLS HC3,Run block 2,-0.44655526997947215,0.2581299248739453,-0.9539392685716493,0.06082872861270505,0.08436973105638002
distance_contrast_texture_features,Contrast and texture,OLS HC3,Run block 3,-0.733874785296655,0.2467498098549776,-1.2188898614727952,-0.2488597091205147,0.0031068349168486
distance_contrast_texture_features,Contrast and texture,OLS HC3,Within-run replicate 2,0.17244838296550524,0.19315549430582343,-0.20722091379966562,0.5521176797306762,0.3724766530922152
distance_contrast_texture_features,Contrast and texture,Two-stage WLS,Intercept,5.308856038531099,0.25478072946779545,4.808055267970575,5.8096568090916225,0.0
distance_contrast_texture_features,Contrast and texture,Two-stage WLS,xAI model,-0.3470663810265166,0.28461827668245876,-0.9065162757494234,0.21238351369639025,0.22337133645277918
distance_contrast_texture_features,Contrast and texture,Two-stage WLS,Lighting effect,0.6689713142445717,0.2809027293160457,0.11682475438549322,1.2211178741036501,0.017685625714071174
distance_contrast_texture_features,Contrast and texture,Two-stage WLS,Scan effect,0.07118641375213872,0.2647504509518279,-0.4492109888296002,0.5915838163338777,0.7881528355176606
distance_contrast_texture_features,Contrast and texture,Two-stage WLS,xAI by lighting effect,-0.11107847446071764,0.41286613163109565,-0.9226142499139797,0.7004573009925444,0.7880288925067775
distance_contrast_texture_features,Contrast and texture,Two-stage WLS,xAI by scan effect,-0.20463709468705357,0.3867843763540709,-0.9649061861662594,0.5556319967921522,0.5970337816285545
distance_contrast_texture_features,Contrast and texture,Two-stage WLS,Backstage scene,-0.5328711568008447,0.19704477954691121,-0.9201852901662367,-0.14555702343545274,0.007122032920727772
distance_contrast_texture_features,Contrast and texture,Two-stage WLS,Corner store scene,0.23043882877130015,0.19704477954691124,-0.1568753045940919,0.6177529621366922,0.2428742209394681
distance_contrast_texture_features,Contrast and texture,Two-stage WLS,Run block 2,-0.11173757273534614,0.2272066204905251,-0.5583382668137024,0.3348631213430101,0.6231252743108961
distance_contrast_texture_features,Contrast and texture,Two-stage WLS,Run block 3,-0.3994255824764624,0.2165626496581888,-0.8251043300410752,0.0262531650881504,0.0658289505795211
distance_contrast_texture_features,Contrast and texture,Two-stage WLS,Within-run replicate 2,0.0707034122867487,0.1608863887897107,-0.2455372533510795,0.3869440779245769,0.6605524838116752
distance_contrast_texture_features,Contrast and texture,Huber IRLS,Intercept,5.38933403589834,0.25738989033674664,4.883404660139077,5.895263411657603,0.0
distance_contrast_texture_features,Contrast and texture,Huber IRLS,xAI model,-0.2351069205604575,0.2701560873706562,-0.7661297220472632,0.2959158809263482,0.384652472869107
distance_contrast_texture_features,Contrast and texture,Huber IRLS,Lighting effect,0.494883505337169,0.2691647017521484,-0.03419061391331363,1.0239576245876516,0.06667974086683981
distance_contrast_texture_features,Contrast and texture,Huber IRLS,Scan effect,0.03900318681541309,0.2687832912682673,-0.4893212263461258,0.567327599976952,0.8846933406341062
distance_contrast_texture_features,Contrast and texture,Huber IRLS,xAI by lighting effect,-0.0687701861405907,0.3827272660609404,-0.8210645616148107,0.6835241893336292,0.8574866538699779
distance_contrast_texture_features,Contrast and texture,Huber IRLS,xAI by scan effect,-0.2951657633008047,0.3820221205433805,-1.0460740943151907,0.45574256771358124,0.44016870868183267
distance_contrast_texture_features,Contrast and texture,Huber IRLS,Backstage scene,-0.4681514987419581,0.1907268569571787,-0.8430470300102095,-0.09325596747370674,0.014509306673220257
distance_contrast_texture_features,Contrast and texture,Huber IRLS,Corner store scene,0.12312102903120914,0.19196348728468807,-0.25420524110104054,0.5004472991634588,0.5216265696664526
distance_contrast_texture_features,Contrast and texture,Huber IRLS,Run block 2,-0.19091911283987573,0.19244240849417493,-0.5691867575856993,0.18734853190594775,0.32172620006776054
distance_contrast_texture_features,Contrast and texture,Huber IRLS,Run block 3,-0.455183534742932,0.19139378332283236,-0.8313899863406924,-0.0789770831451716,0.017840075928770016
distance_contrast_texture_features,Contrast and texture,Huber IRLS,Within-run replicate 2,0.050567595709890334,0.15615799463328842,-0.2563788684316293,0.35751405985141,0.746232628325725
distance_structure_features,Structure features,OLS HC3,Intercept,2.29672111859085,0.16844456360857318,1.965623992728482,2.6278182444532177,0.0
distance_structure_features,Structure features,OLS HC3,xAI model,-0.316083703204747,0.16751185071262242,-0.6453474748021372,0.013180068392643185,0.05985707176881383
distance_structure_features,Structure features,OLS HC3,Lighting effect,0.09400847411966959,0.18039791185384357,-0.26058432986762614,0.4486012781069654,0.6025590475920861
distance_structure_features,Structure features,OLS HC3,Scan effect,-0.11378134556699661,0.1810377986932772,-0.4696319205910945,0.2420692294571013,0.5300205576665946
distance_structure_features,Structure features,OLS HC3,xAI by lighting effect,0.338748342066156,0.25605846239460217,-0.16456395923553446,0.8420606433678465,0.18657556118116103
distance_structure_features,Structure features,OLS HC3,xAI by scan effect,0.07080656722095788,0.24831603139125968,-0.4172870971744601,0.5589002316163759,0.7756717603184173
distance_structure_features,Structure features,OLS HC3,Backstage scene,-0.0698551868850894,0.12983826828918,-0.3250672076030232,0.1853568338328444,0.5908496611314669
distance_structure_features,Structure features,OLS HC3,Corner store scene,0.24561441874413487,0.13001908436751605,-0.009953016732009212,0.5011818542202789,0.05957021886160252
distance_structure_features,Structure features,OLS HC3,Run block 2,-0.3525055046414314,0.13165519344680365,-0.611288900325162,-0.09372210895770078,0.007707642472499776
