group_type,group,n,point_index,PC1,PC2
model_key,xai_grok_imagine,144,77,1.3156591641087716,1.7455314125351933
model_key,xai_grok_imagine,144,78,1.364223727839128,1.764554824055233
model_key,xai_grok_imagine,144,79,1.4134078620574682,1.78204475869743
model_key,xai_grok_imagine,144,80,1.463134771576719,1.7979739080050212
model_key,xai_grok_imagine,144,81,1.5133268137306057,1.8123174005022666
model_key,xai_grok_imagine,144,82,1.5639056196034582,1.8250528405283064
model_key,xai_grok_imagine,144,83,1.6147922163939727,1.8361603432053277
model_key,xai_grok_imagine,144,84,1.6659071507218624,1.8456225654864404
model_key,xai_grok_imagine,144,85,1.717170612684883,1.8534247332347857
model_key,xai_grok_imagine,144,86,1.768502560472517,1.8595546642915979
model_key,xai_grok_imagine,144,87,1.8198228453417644,1.8640027874971983
model_key,xai_grok_imagine,144,88,1.871051336759886,1.8667621576352258
model_key,xai_grok_imagine,144,89,1.9221080475187193,1.867828466276766
model_key,xai_grok_imagine,144,90,1.9729132586252123,1.8672000485074536
model_key,xai_grok_imagine,144,91,2.023387643773162,1.8648778855270387
model_key,xai_grok_imagine,144,92,2.0734523932018307,1.860865603117357
model_key,xai_grok_imagine,144,93,2.12302933674803,1.8551694659811044
model_key,xai_grok_imagine,144,94,2.172041065899548,1.847798367960248
model_key,xai_grok_imagine,144,95,2.2204110546593587,1.8387638181493444
model_key,xai_grok_imagine,144,96,2.268063779031875,1.8280799229254585
model_key,xai_grok_imagine,144,97,2.31492483494471,1.8157633639227275
model_key,xai_grok_imagine,144,98,2.3609210544217962,1.8018333719859703
model_key,xai_grok_imagine,144,99,2.4059806198265012,1.7863116971440065
model_key,xai_grok_imagine,144,100,2.4500331759963374,1.7692225746495684
model_key,xai_grok_imagine,144,101,2.4930099400941983,1.7505926871388306
model_key,xai_grok_imagine,144,102,2.534843809004595,1.7304511229696398
model_key,xai_grok_imagine,144,103,2.575469464107202,1.7088293308034987
model_key,xai_grok_imagine,144,104,2.6148234732641322,1.6857610705022137
model_key,xai_grok_imagine,144,105,2.6528443898616896,1.6612823604158782
model_key,xai_grok_imagine,144,106,2.689472848751962,1.635431421144493
model_key,xai_grok_imagine,144,107,2.7246516589444503,1.608248615861041
model_key,xai_grok_imagine,144,108,2.7583258929030157,1.5797763872891781
model_key,xai_grok_imagine,144,109,2.7904429723087047,1.5500591914339625
model_key,xai_grok_imagine,144,110,2.8209527501545515,1.519143428169079
model_key,xai_grok_imagine,144,111,2.849807589044179,1.4870773687889427
model_key,xai_grok_imagine,144,112,2.8769624355719357,1.4539110806388067
model_key,xai_grok_imagine,144,113,2.9023748906684435,1.4196963489405416
model_key,xai_grok_imagine,144,114,2.9260052758017085,1.3844865959361612
model_key,xai_grok_imagine,144,115,2.9478166949304407,1.3483367974753324
model_key,xai_grok_imagine,144,116,2.967775092112843,1.3113033971771118
model_key,xai_grok_imagine,144,117,2.985849304680918,1.2734442182999377
model_key,xai_grok_imagine,144,118,3.002011111897279,1.2348183734574707
model_key,xai_grok_imagine,144,119,3.0162352790184803,1.1954861723212686
model_key,xai_grok_imagine,144,120,3.0284995966960717,1.1555090274543927
model_key,xai_grok_imagine,144,121,3.0387849156538627,1.1149493584229786
model_key,xai_grok_imagine,144,122,3.0470751765872404,1.0738704943354984
model_key,xai_grok_imagine,144,123,3.0533574352378707,1.0323365749618694
model_key,xai_grok_imagine,144,124,3.0576218826046206,0.9904124505868201
model_key,xai_grok_imagine,144,125,3.059861860259147,0.9481635807538694
model_key,xai_grok_imagine,144,126,3.060073870742243,0.9056559320580179
model_key,xai_grok_imagine,144,127,3.0582575830247065,0.8629558751467442
model_key,xai_grok_imagine,144,128,3.0544158330242026,0.8201300810901128
model_key,xai_grok_imagine,144,129,3.048554619177314,0.7772454172818154
model_key,xai_grok_imagine,144,130,3.040683093073694,0.7343688430336724
model_key,xai_grok_imagine,144,131,3.0308135451669473,0.6915673050266161
model_key,xai_grok_imagine,144,132,3.0189613855845447,0.648907632781398
model_key,xai_grok_imagine,144,133,3.005145120066738,0.6064564343122198
model_key,xai_grok_imagine,144,134,2.9893863210720437,0.5642799921262313
model_key,xai_grok_imagine,144,135,2.9717095940944103,0.5224441597312603
model_key,xai_grok_imagine,144,136,2.952142539244659,0.4810142588133789
model_key,xai_grok_imagine,144,137,2.930715708156189,0.4400549772448466
model_key,xai_grok_imagine,144,138,2.907462556282227,0.3996302680816729
model_key,xai_grok_imagine,144,139,2.882419390659109,0.3598032497085139
model_key,xai_grok_imagine,144,140,2.8556253132171525,0.320636107286808
model_key,xai_grok_imagine,144,141,2.827122159727635,0.282189995660026
model_key,xai_grok_imagine,144,142,2.796954434481202,0.2445249438676469
model_key,xai_grok_imagine,144,143,2.765169240799702,0.2076997614169328
model_key,xai_grok_imagine,144,144,2.731816207489939,0.17177194645886862
model_key,xai_grok_imagine,144,145,2.6969474113541825,0.13679759601162256
model_key,xai_grok_imagine,144,146,2.6606172958784224,0.10283131837171222
model_key,xai_grok_imagine,144,147,2.622882586225332,0.06992614784963402
model_key,xai_grok_imagine,144,148,2.583802200664654,0.03813346196307876
model_key,xai_grok_imagine,144,149,2.5434371585793203,0.007502901217039226
model_key,xai_grok_imagine,144,150,2.5018504851909285,-0.021917708403946023
model_key,xai_grok_imagine,144,151,2.459107113153338,-0.05008243011039082
model_key,xai_grok_imagine,144,152,2.415273781168044,-0.07694728803270323
model_key,xai_grok_imagine,144,153,2.3704189297796114,-0.10247033588428844
model_key,xai_grok_imagine,144,154,2.324612594513891,-0.12661172245569452
model_key,xai_grok_imagine,144,155,2.277926296525862,-0.14933375383754532
model_key,xai_grok_imagine,144,156,2.230432930927834,-0.17060095227510585
model_key,xai_grok_imagine,144,157,2.182206652972389,-0.1903801115625834
model_key,xai_grok_imagine,144,158,2.133322762267749,-0.2086403488906784
model_key,xai_grok_imagine,144,159,2.083857585206383,-0.22535315306642378
model_key|film_key,chatgpt_image_2_cinestill800t,72,0,-3.710477741918087,-2.6543371488145455
model_key|film_key,chatgpt_image_2_cinestill800t,72,1,-3.802842613250534,-2.628511982483279
model_key|film_key,chatgpt_image_2_cinestill800t,72,2,-3.8945933667296417,-2.6009833702424014
model_key|film_key,chatgpt_image_2_cinestill800t,72,3,-3.9855867444453223,-2.571794294752083
model_key|film_key,chatgpt_image_2_cinestill800t,72,4,-4.075680671039837,-2.540990331288751
model_key|film_key,chatgpt_image_2_cinestill800t,72,5,-4.164734475541601,-2.508619576584703
model_key|film_key,chatgpt_image_2_cinestill800t,72,6,-4.2526091110062065,-2.474732573730768
model_key|film_key,chatgpt_image_2_cinestill800t,72,7,-4.339167371621725,-2.439382233259275
model_key|film_key,chatgpt_image_2_cinestill800t,72,8,-4.424274106939287,-2.402623750530532
model_key|film_key,chatgpt_image_2_cinestill800t,72,9,-4.507796432894472,-2.364514519551825
model_key|film_key,chatgpt_image_2_cinestill800t,72,10,-4.589603939289999,-2.325114043363489
model_key|film_key,chatgpt_image_2_cinestill800t,72,11,-4.669568893415765,-2.284483841131974
model_key|film_key,chatgpt_image_2_cinestill800t,72,12,-4.747566439488315,-2.24268735209497
model_key|film_key,chatgpt_image_2_cinestill800t,72,13,-4.823474793598323,-2.1997898365085664
model_key|film_key,chatgpt_image_2_cinestill800t,72,14,-4.897175433861709,-2.1558582737511087
model_key|film_key,chatgpt_image_2_cinestill800t,72,15,-4.968553285477496,-2.1109612577428543
model_key|film_key,chatgpt_image_2_cinestill800t,72,16,-5.037496900403443,-2.0651688898447014
model_key|film_key,chatgpt_image_2_cinestill800t,72,17,-5.103898631368947,-2.018552669403243
model_key|film_key,chatgpt_image_2_cinestill800t,72,18,-5.167654799953464,-1.9711853821130203
model_key|film_key,chatgpt_image_2_cinestill800t,72,19,-5.2286658584680605,-1.9231409863703008
model_key|film_key,chatgpt_image_2_cinestill800t,72,20,-5.286836545387316,-1.8744944977958242
model_key|film_key,chatgpt_image_2_cinestill800t,72,21,-5.3420760340888815,-1.8253218721068138
model_key|film_key,chatgpt_image_2_cinestill800t,72,22,-5.394298074668471,-1.7756998865211409
model_key|film_key,chatgpt_image_2_cinestill800t,72,23,-5.4434211286088505,-1.7257060198788137
model_key|film_key,chatgpt_image_2_cinestill800t,72,24,-5.489368496092547,-1.6754183316679645
model_key|film_key,chatgpt_image_2_cinestill800t,72,25,-5.532068435759517,-1.6249153401442271
model_key|film_key,chatgpt_image_2_cinestill800t,72,26,-5.571454276722758,-1.5742758997338
model_key|film_key,chatgpt_image_2_cinestill800t,72,27,-5.607464522666987,-1.5235790779116207
model_key|film_key,chatgpt_image_2_cinestill800t,72,28,-5.640042947867835,-1.4729040317468896
model_key|film_key,chatgpt_image_2_cinestill800t,72,29,-5.669138684981644,-1.4223298843087027
model_key|film_key,chatgpt_image_2_cinestill800t,72,30,-5.694706304468781,-1.3719356011247725
model_key|film_key,chatgpt_image_2_cinestill800t,72,31,-5.716705885526476,-1.321799866886129
model_key|film_key,chatgpt_image_2_cinestill800t,72,32,-5.735103078420416,-1.2720009625903164
model_key|film_key,chatgpt_image_2_cinestill800t,72,33,-5.749869158117773,-1.2226166433149066
model_key|film_key,chatgpt_image_2_cinestill800t,72,34,-5.760981069137943,-1.1737240168121765
model_key|film_key,chatgpt_image_2_cinestill800t,72,35,-5.768421461550927,-1.1253994231145068
model_key|film_key,chatgpt_image_2_cinestill800t,72,36,-5.772178718067201,-1.077718315338481
model_key|film_key,chatgpt_image_2_cinestill800t,72,37,-5.772246972176729,-1.030755141873804
model_key|film_key,chatgpt_image_2_cinestill800t,72,38,-5.768626117308822,-0.9845832301409763
model_key|film_key,chatgpt_image_2_cinestill800t,72,39,-5.761321806998532,-0.939274672099233
model_key|film_key,chatgpt_image_2_cinestill800t,72,40,-5.750345446059336,-0.8949002116835071
model_key|film_key,chatgpt_image_2_cinestill800t,72,41,-5.73571417277587,-0.8515291343461718
model_key|film_key,chatgpt_image_2_cinestill800t,72,42,-5.717450832144527,-0.809229158876033
model_key|film_key,chatgpt_image_2_cinestill800t,72,43,-5.695583940203715,-0.7680663316634778
model_key|film_key,chatgpt_image_2_cinestill800t,72,44,-5.670147639509443,-0.7281049235768772
model_key|film_key,chatgpt_image_2_cinestill800t,72,45,-5.641181645825774,-0.6894073296112536
