component,feature,loading
PC1,fft_high_low_power_ratio,-0.022084178052141284
PC1,fft_radial_loglog_slope,-0.019503109328944696
PC1,fft_low_freq_log_power_mean,0.05713758165117897
PC1,fft_mid_freq_log_power_mean,0.04666328896820849
PC1,fft_high_freq_log_power_mean,0.03814879863747862
PC1,palette_entropy_6,0.07184163505064287
PC1,palette_effective_clusters_6,0.07228064077764465
PC1,palette_top1_share,-0.06938604540603167
PC1,palette_top2_share_gap,-0.05795382755582369
PC1,palette_top2_lab_distance,0.06447252030150621
PC1,palette_mean_pairwise_lab_distance,-0.01242136660724196
PC1,palette_weighted_pairwise_lab_distance,0.06474824652730565
PC1,palette_within_cluster_lab_rmse,-0.033549945426841664
PC1,palette_dominant_lab_l,0.06262284026440666
PC1,palette_dominant_lab_a,-0.023931884403312804
PC1,palette_dominant_lab_b,0.015346756072965291
PC1,palette_dominant_lab_chroma,0.013203274312033058
PC2,rgb_mean_r,0.1394828510804445
PC2,rgb_mean_g,0.06883710953517519
PC2,rgb_mean_b,0.038003795181134614
PC2,rgb_sd_r,0.10996169885928825
PC2,rgb_sd_g,0.07647625034491157
PC2,rgb_sd_b,0.045062358179138756
PC2,warmth_rgb_mean_r_minus_b,0.12852361558629755
PC2,warmth_rgb_mean_rg_minus_b,0.1198800821894071
PC2,lab_mean_l,0.08817915125676341
PC2,lab_mean_a,0.1216469297746458
PC2,lab_mean_b,0.11636251156022381
PC2,lab_sd_l,0.07272273263735168
PC2,lab_sd_a,0.133862709378054
PC2,lab_sd_b,0.10964682036068216
PC2,lab_chroma_mean,0.13203340475003908
PC2,saturation_mean,0.059216266572295465
PC2,saturation_sd,0.08117084888182018
PC2,value_mean,0.11936941088957909
PC2,value_sd,0.09490176263888522
PC2,luma_mean,0.08314241542308169
PC2,luma_sd,0.07613263398638351
PC2,luma_p01,-0.0022619499855342667
PC2,luma_p05,-0.007834817580202418
PC2,luma_p50,0.0818038499780614
PC2,luma_p95,0.07135388480075999
PC2,luma_p99,0.05331730664751132
PC2,dynamic_range_p95_p05,0.07092919303864666
PC2,luma_iqr_p75_p25,0.07842628191342531
PC2,rms_contrast,0.07613263413473742
PC2,michelson_contrast_p95_p05,0.029579096973098323
PC2,shadow_fraction,-0.036202550497836807
PC2,deep_shadow_fraction,-0.05011574708249858
PC2,highlight_fraction,0.018446328031818112
PC2,clipped_shadow_fraction,-0.011467891407614516
PC2,clipped_highlight_fraction,0.02600124931622355
PC2,rgb_cov_r_g,0.07453642531328039
PC2,rgb_corr_r_g,-0.07720760320243092
PC2,rgb_cov_r_b,0.04431709121876599
PC2,rgb_corr_r_b,-0.06500825551022806
PC2,rgb_cov_g_b,0.05601090363772969
PC2,rgb_corr_g_b,-0.04147893231453686
PC2,lab_cov_l_a,-0.023227172523923763
PC2,lab_corr_l_a,-0.010950024970626528
PC2,lab_cov_l_b,0.023906608144551235
PC2,lab_corr_l_b,0.0036267673466777173
