effect_type,model_key,feature,n_effects,mean_effect,mean_abs_effect,median_abs_effect,sd_effect,se_effect
lighting_warm_minus_cool,chatgpt_image_2,lab_corr_l_b,72,0.5453615164462646,0.5556612388775088,0.5461962890274731,0.32721939537386324,0.03856317556743678
lighting_warm_minus_cool,chatgpt_image_2,lab_cov_a_b,72,53.38216452491662,55.39506195531979,50.66573281359053,32.57395873826118,3.8388778523192135
lighting_warm_minus_cool,chatgpt_image_2,lab_cov_l_a,72,55.93564608836036,62.06370820549695,55.223879682893134,52.84172050722759,6.227456483370815
lighting_warm_minus_cool,chatgpt_image_2,lab_cov_l_b,72,152.44889425210556,153.50452928665968,155.4076755046127,81.66211315802943,9.623972330010966
lighting_warm_minus_cool,chatgpt_image_2,lab_mean_a,72,5.172206870176726,5.2513237916347055,4.933689832687378,2.4755887617248034,0.2917509334741361
lighting_warm_minus_cool,chatgpt_image_2,lab_mean_b,72,8.476128375364674,8.628949889706242,8.98576831817627,4.038734193673566,0.47596938929276034
lighting_warm_minus_cool,chatgpt_image_2,lab_mean_l,72,-7.2798744440078735,8.821384496159023,7.8320159912109375,8.007059811807666,0.9436410483825804
lighting_warm_minus_cool,chatgpt_image_2,lab_sd_a,72,3.3982724911636777,3.5921676986747317,3.446821093559265,2.372493601644169,0.27960105234071464
lighting_warm_minus_cool,chatgpt_image_2,lab_sd_b,72,5.588971038659413,5.64030357864168,5.712671518325806,2.726611040053809,0.3213341926800256
lighting_warm_minus_cool,chatgpt_image_2,lab_sd_l,72,-2.893060247103373,3.955897582901849,3.170154571533203,4.02672228232329,0.47455377196429505
lighting_warm_minus_cool,chatgpt_image_2,laplacian_variance,72,-0.0003223383496838829,0.0013746012417767714,0.0010718678822740912,0.0018317262651627382,0.00021587101056234673
lighting_warm_minus_cool,chatgpt_image_2,left_right_warmth_delta,72,0.00034890861408914335,0.08687630043601126,0.07434368543908931,0.10780477322082133,0.012704914364786782
lighting_warm_minus_cool,chatgpt_image_2,left_warmth_mean,72,0.11089342798287463,0.119809016934596,0.11729025281965733,0.07525903232297895,0.008869362016852666
lighting_warm_minus_cool,chatgpt_image_2,local_contrast_mean,72,-0.003854535933997896,0.008729587826463912,0.0072134118527174,0.010041500748887534,0.0011834022121380286
lighting_warm_minus_cool,chatgpt_image_2,local_contrast_p95,72,-0.009579017654889159,0.03086334767027034,0.03122147172689438,0.03658402234637628,0.004311468380700477
lighting_warm_minus_cool,chatgpt_image_2,local_lab_corr_a_b_abs_mean,72,0.16938164171492054,0.1749606873529036,0.17099501991615926,0.09505243556816119,0.01120203695975736
lighting_warm_minus_cool,chatgpt_image_2,local_lab_corr_a_b_mean,72,0.2905474434121857,0.30662446139272986,0.28795588772284464,0.21463935801623524,0.025295490927134515
lighting_warm_minus_cool,chatgpt_image_2,local_lab_corr_a_b_p90_abs,72,0.07656145358202865,0.08257167545978872,0.06609380893571754,0.07051623805119646,0.008310418351627645
lighting_warm_minus_cool,chatgpt_image_2,local_lab_corr_a_b_sd,72,-0.08326217150005205,0.11904897355279248,0.11024927159642678,0.11935642525478511,0.014066289612640642
lighting_warm_minus_cool,chatgpt_image_2,local_lab_corr_l_a_abs_mean,72,0.04607762935486764,0.10400347149407015,0.08624954921303302,0.12104997993674473,0.014265876945961289
lighting_warm_minus_cool,chatgpt_image_2,local_lab_corr_l_a_mean,72,0.30529142064304815,0.369323881196123,0.3540266464525532,0.3179045652538892,0.03746541231019773
lighting_warm_minus_cool,chatgpt_image_2,local_lab_corr_l_a_p90_abs,72,0.057682912203244924,0.09800980375914209,0.07507579263725345,0.11142428783317367,0.013131478252619804
lighting_warm_minus_cool,chatgpt_image_2,local_lab_corr_l_a_sd,72,-0.0066020944421985965,0.07619824460901188,0.05264626675311368,0.10160829820090149,0.011974652780447055
lighting_warm_minus_cool,chatgpt_image_2,local_lab_corr_l_b_abs_mean,72,0.2441968751469117,0.24675226607993997,0.26036401770809103,0.12199216832366977,0.014376914912219606
lighting_warm_minus_cool,chatgpt_image_2,local_lab_corr_l_b_mean,72,0.4876900128955093,0.5027574685021869,0.5052036805011803,0.2631737661881951,0.031015325783679284
lighting_warm_minus_cool,chatgpt_image_2,local_lab_corr_l_b_p90_abs,72,0.1495052879900683,0.15180443189650866,0.1504131933734696,0.0800454908319839,0.009433451561783573
lighting_warm_minus_cool,chatgpt_image_2,local_lab_corr_l_b_sd,72,-0.08368308936093136,0.131296785777933,0.11669658774908795,0.13736005679889776,0.016188037937778326
lighting_warm_minus_cool,chatgpt_image_2,local_lab_cov_a_b_abs_mean,72,30.367327477395357,30.66946901167283,28.39266487428469,14.235668336110255,1.6776896025310297
lighting_warm_minus_cool,chatgpt_image_2,local_lab_cov_a_b_mean,72,30.151159055736507,30.640196698986895,28.30302657115741,15.279422350807058,1.8006971928114952
lighting_warm_minus_cool,chatgpt_image_2,local_lab_cov_a_b_p90_abs,72,69.63521364024412,70.68455148878884,66.44126592934,38.79774612277726,4.572358229694981
lighting_warm_minus_cool,chatgpt_image_2,local_lab_cov_a_b_sd,72,28.410301616500718,29.099207464836624,26.784495352567504,18.454830526082976,2.174922635106962
lighting_warm_minus_cool,chatgpt_image_2,local_lab_cov_l_a_abs_mean,72,17.627580976622525,19.858511679047652,19.791159729368523,14.05874215054992,1.656838651601166
lighting_warm_minus_cool,chatgpt_image_2,local_lab_cov_l_a_mean,72,21.90242197979647,26.16442704133761,24.81052483363994,22.41983364305532,2.642202733679786
lighting_warm_minus_cool,chatgpt_image_2,local_lab_cov_l_a_p90_abs,72,45.301609704857775,49.738111104588775,50.76167601820954,34.30755452126738,4.043184074652561
lighting_warm_minus_cool,chatgpt_image_2,local_lab_cov_l_a_sd,72,20.30372500602239,22.497838571083022,20.36908190186601,16.85979297843547,1.9869456574088433
lighting_warm_minus_cool,chatgpt_image_2,local_lab_cov_l_b_abs_mean,72,57.32520163371641,57.66093514160514,51.59119931108306,31.263928673612014,3.684489328607267
lighting_warm_minus_cool,chatgpt_image_2,local_lab_cov_l_b_mean,72,69.201278533891,69.75952302983762,67.56645317433556,37.88001088833593,4.464202095093766
lighting_warm_minus_cool,chatgpt_image_2,local_lab_cov_l_b_p90_abs,72,121.7930391620633,123.44001699264507,110.91176470517595,66.1366587434428,7.794279980418162
lighting_warm_minus_cool,chatgpt_image_2,local_lab_cov_l_b_sd,72,45.91602838323099,46.71825755585659,39.71145750431662,28.158590904385328,3.3185217628581176
lighting_warm_minus_cool,chatgpt_image_2,lower_tail_luma_width_p10_p01,72,-0.009406035132188763,0.011636188124409981,0.008417253382503986,0.012990339552328393,0.001530926197894538
lighting_warm_minus_cool,chatgpt_image_2,luma_iqr_p75_p25,72,-0.09324881641401185,0.11964880178372066,0.10819873213768005,0.11452422510952019,0.013496809364179402
lighting_warm_minus_cool,chatgpt_image_2,luma_kurtosis_excess,72,1.398354070006283,1.8015267224640885,1.6014256975215886,1.8968783711264408,0.22354925988493315
lighting_warm_minus_cool,chatgpt_image_2,luma_mean,72,-0.0720556123897676,0.08518761274377101,0.07779416510047993,0.07516792618434939,0.008858625055447218
lighting_warm_minus_cool,chatgpt_image_2,luma_p01,72,0.004074444748564727,0.02089442317891452,0.017786276526749134,0.02622637951436204,0.0030908084667628922
lighting_warm_minus_cool,chatgpt_image_2,luma_p05,72,-0.0003444987750198278,0.02230387829735668,0.019314507022500038,0.028290152089750685,0.0033340263972435817
lighting_warm_minus_cool,chatgpt_image_2,luma_p50,72,-0.09056410038222869,0.10963231449325879,0.08996431156992912,0.108628634099158,0.012802007300424476
lighting_warm_minus_cool,chatgpt_image_2,luma_p95,72,-0.09927527223610216,0.13636045644266737,0.11936135590076447,0.1334988078628543,0.015732985386690716
lighting_warm_minus_cool,chatgpt_image_2,luma_p99,72,-0.053099180882175766,0.11182943586674002,0.08728372305631638,0.1313415859603285,0.015478754347390688
lighting_warm_minus_cool,chatgpt_image_2,luma_sd,72,-0.03275324280233923,0.04261610557642132,0.036009160058409165,0.04156669145383891,0.004898681566416401
lighting_warm_minus_cool,chatgpt_image_2,luma_skewness,72,0.4966892026279197,0.6454249282711128,0.5299693834399922,0.633746069065121,0.07468769049771086
lighting_warm_minus_cool,chatgpt_image_2,michelson_contrast_p95_p05,72,-0.016229818409572796,0.06096625281596804,0.05757681558675881,0.07291091370997174,0.008592633584471373
lighting_warm_minus_cool,chatgpt_image_2,midtone_fraction,72,-6.794929504394531e-06,4.5710139804416234e-05,1.5735626220703125e-05,0.00010911450762089015,1.2859268044093774e-05
lighting_warm_minus_cool,chatgpt_image_2,midtone_lab_a,72,6.937750420740081,7.221792537408571,7.460463613271713,4.384245707770608,0.5166883117254353
lighting_warm_minus_cool,chatgpt_image_2,midtone_lab_b,72,7.446826107800007,7.850182000961569,7.751512050628662,5.117159021519661,0.6030629740877451
lighting_warm_minus_cool,chatgpt_image_2,midtone_lab_l,72,-9.568554086817635,11.932261735200882,9.788519382476807,11.85876398119004,1.3975687379317094
lighting_warm_minus_cool,chatgpt_image_2,midtone_luma_width_p75_p25,72,-0.09324881563790971,0.11964880204242137,0.10819873586297035,0.11452422555712126,0.013496809416929694
