run_id,run_block,effect_type,factor,low_level,high_level,model_key,scene_key,film_key,light_key,scan_key,replicate,low_variant_id,high_variant_id,distance_all_selected_features,distance_color_features,distance_contrast_texture_features,distance_structure_features,n_all_features,n_color_features,n_contrast_texture_features,n_structure_features
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,chatgpt_image_2,corner_store,portra400,warm_practical,pushed_scan,2,run1_chatgpt_image_2_corner_store_portra400_warm_practical_pushed_scan_rep02,run1_chatgpt_image_2_corner_store_cinestill800t_warm_practical_pushed_scan_rep02,6.419445197760041,5.361114570806082,5.484931776787254,2.369664791697943,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,apartment,portra400,cool_ambient,clean_scan,1,run1_xai_grok_imagine_apartment_portra400_cool_ambient_clean_scan_rep01,run1_xai_grok_imagine_apartment_cinestill800t_cool_ambient_clean_scan_rep01,6.673209261128579,5.231176401386855,5.053043756550724,1.3873335045156805,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,apartment,portra400,cool_ambient,clean_scan,2,run1_xai_grok_imagine_apartment_portra400_cool_ambient_clean_scan_rep02,run1_xai_grok_imagine_apartment_cinestill800t_cool_ambient_clean_scan_rep02,5.4162506348285175,4.658711120976702,3.6125510593742627,1.5357291613312463,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,apartment,portra400,cool_ambient,pushed_scan,1,run1_xai_grok_imagine_apartment_portra400_cool_ambient_pushed_scan_rep01,run1_xai_grok_imagine_apartment_cinestill800t_cool_ambient_pushed_scan_rep01,8.335106947699296,6.964848866724104,5.7001719582854,2.002106743637162,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,apartment,portra400,cool_ambient,pushed_scan,2,run1_xai_grok_imagine_apartment_portra400_cool_ambient_pushed_scan_rep02,run1_xai_grok_imagine_apartment_cinestill800t_cool_ambient_pushed_scan_rep02,9.628525937237976,4.080093510697852,9.096067013459566,4.826828226053588,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,apartment,portra400,warm_practical,clean_scan,1,run1_xai_grok_imagine_apartment_portra400_warm_practical_clean_scan_rep01,run1_xai_grok_imagine_apartment_cinestill800t_warm_practical_clean_scan_rep01,12.80787141652794,10.003511740445365,8.562968622696959,2.8551189030573774,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,apartment,portra400,warm_practical,clean_scan,2,run1_xai_grok_imagine_apartment_portra400_warm_practical_clean_scan_rep02,run1_xai_grok_imagine_apartment_cinestill800t_warm_practical_clean_scan_rep02,8.53755655687584,7.506692637949373,5.31354903172835,1.9299700182317594,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,apartment,portra400,warm_practical,pushed_scan,1,run1_xai_grok_imagine_apartment_portra400_warm_practical_pushed_scan_rep01,run1_xai_grok_imagine_apartment_cinestill800t_warm_practical_pushed_scan_rep01,6.152005875732065,6.098305161225175,3.7835683061282817,1.6767143842191783,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,apartment,portra400,warm_practical,pushed_scan,2,run1_xai_grok_imagine_apartment_portra400_warm_practical_pushed_scan_rep02,run1_xai_grok_imagine_apartment_cinestill800t_warm_practical_pushed_scan_rep02,5.904089303039117,5.34885490928907,3.453779571095675,1.5756808822052373,49,32,23,5
filmstock_20260503_005006_f42a60,1,filmstock_cinestill_minus_portra,film_key,portra400,cinestill800t,xai_grok_imagine,backstage,portra400,cool_ambient,clean_scan,1,run1_xai_grok_imagine_backstage_portra400_cool_ambient_clean_scan_rep01,run1_xai_grok_imagine_backstage_cinestill800t_cool_ambient_clean_scan_rep01,6.307207596627303,5.449080927276437,4.182627530846077,2.238971397981039,49,32,23,5
