rank_robust_distance,variant_id,run_id,model_key,scene_key,film_key,light_key,scan_key,replicate,image_path,robust_mahalanobis_sq_pc10,empirical_mahalanobis_sq_pc10,chi_square_df,chi_square_975_cutoff,flag_robust_outlier_975,robust_tail_p_value
251,run1_xai_grok_imagine_backstage_cinestill800t_cool_ambient_pushed_scan_rep01,filmstock_20260503_005006_f42a60,xai_grok_imagine,backstage,cinestill800t,cool_ambient,pushed_scan,1,data/images/run1_xai_grok_imagine_backstage_cinestill800t_cool_ambient_pushed_scan_rep01_00001_.png,6.077088878321329,5.483265688624151,10,20.48317735080739,0,0.8087454997619083
252,run1_xai_grok_imagine_backstage_portra400_cool_ambient_clean_scan_rep02,filmstock_20260503_005006_f42a60,xai_grok_imagine,backstage,portra400,cool_ambient,clean_scan,2,data/images/run1_xai_grok_imagine_backstage_portra400_cool_ambient_clean_scan_rep02_00001_.png,5.874737977527408,5.883122181024087,10,20.48317735080739,0,0.8256750828239596
253,run1_chatgpt_image_2_apartment_cinestill800t_warm_practical_clean_scan_rep01,filmstock_20260503_005006_f42a60,chatgpt_image_2,apartment,cinestill800t,warm_practical,clean_scan,1,data/images/run1_chatgpt_image_2_apartment_cinestill800t_warm_practical_clean_scan_rep01_00001_.png,5.8414269678998725,6.169939950796497,10,20.48317735080739,0,0.8284051943388132
254,run3_chatgpt_image_2_backstage_portra400_cool_ambient_clean_scan_rep02,filmstock_20260503_114446_63c69b,chatgpt_image_2,backstage,portra400,cool_ambient,clean_scan,2,data/images/run3_chatgpt_image_2_backstage_portra400_cool_ambient_clean_scan_rep02_00001_.png,5.784950082303597,5.6460842105018925,10,20.48317735080739,0,0.8329955307072785
255,run1_chatgpt_image_2_corner_store_cinestill800t_cool_ambient_clean_scan_rep01,filmstock_20260503_005006_f42a60,chatgpt_image_2,corner_store,cinestill800t,cool_ambient,clean_scan,1,data/images/run1_chatgpt_image_2_corner_store_cinestill800t_cool_ambient_clean_scan_rep01_00001_.png,5.774128656389261,5.61900239944501,10,20.48317735080739,0,0.8338694774591865
256,run1_chatgpt_image_2_backstage_portra400_cool_ambient_pushed_scan_rep01,filmstock_20260503_005006_f42a60,chatgpt_image_2,backstage,portra400,cool_ambient,pushed_scan,1,data/images/run1_chatgpt_image_2_backstage_portra400_cool_ambient_pushed_scan_rep01_00001_.png,5.772371122357243,5.533426323056901,10,20.48317735080739,0,0.834011245604398
257,run3_xai_grok_imagine_backstage_cinestill800t_warm_practical_clean_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,backstage,cinestill800t,warm_practical,clean_scan,2,data/images/run3_xai_grok_imagine_backstage_cinestill800t_warm_practical_clean_scan_rep02_00001_.png,5.768847642854903,5.619752551776056,10,20.48317735080739,0,0.8342953155674995
258,run3_xai_grok_imagine_corner_store_portra400_warm_practical_clean_scan_rep01,filmstock_20260503_114446_63c69b,xai_grok_imagine,corner_store,portra400,warm_practical,clean_scan,1,data/images/run3_xai_grok_imagine_corner_store_portra400_warm_practical_clean_scan_rep01_00001_.png,5.699900683735882,5.310950383239534,10,20.48317735080739,0,0.8398146583769305
259,run1_chatgpt_image_2_corner_store_cinestill800t_cool_ambient_pushed_scan_rep02,filmstock_20260503_005006_f42a60,chatgpt_image_2,corner_store,cinestill800t,cool_ambient,pushed_scan,2,data/images/run1_chatgpt_image_2_corner_store_cinestill800t_cool_ambient_pushed_scan_rep02_00001_.png,5.689450042913524,5.058371170800286,10,20.48317735080739,0,0.8406446512834803
260,run1_xai_grok_imagine_backstage_portra400_cool_ambient_pushed_scan_rep01,filmstock_20260503_005006_f42a60,xai_grok_imagine,backstage,portra400,cool_ambient,pushed_scan,1,data/images/run1_xai_grok_imagine_backstage_portra400_cool_ambient_pushed_scan_rep01_00001_.png,5.67359044175694,6.0766313519181026,10,20.48317735080739,0,0.8419008618874626
261,run1_chatgpt_image_2_backstage_portra400_cool_ambient_pushed_scan_rep02,filmstock_20260503_005006_f42a60,chatgpt_image_2,backstage,portra400,cool_ambient,pushed_scan,2,data/images/run1_chatgpt_image_2_backstage_portra400_cool_ambient_pushed_scan_rep02_00001_.png,5.649587675330097,5.748915497679084,10,20.48317735080739,0,0.8437943132434284
262,run3_xai_grok_imagine_backstage_portra400_warm_practical_pushed_scan_rep02,filmstock_20260503_114446_63c69b,xai_grok_imagine,backstage,portra400,warm_practical,pushed_scan,2,data/images/run3_xai_grok_imagine_backstage_portra400_warm_practical_pushed_scan_rep02_00001_.png,5.638016783308672,5.067336193041526,10,20.48317735080739,0,0.8447037164612125
