target,target_label,method,rank,feature,coefficient,abs_coefficient
film_key,Filmstock,LASSO logistic,38,color_spatial_var_lab_a,0.04183753278337659,0.04183753278337659
film_key,Filmstock,LASSO logistic,39,color_spatial_range_rgb_g,0.033041699813902065,0.033041699813902065
film_key,Filmstock,LASSO logistic,40,palette_effective_clusters_6,-0.0327318430265964,0.0327318430265964
film_key,Filmstock,Ridge logistic,1,halation_ring_red_excess_p95,0.37232454667994636,0.37232454667994636
film_key,Filmstock,Ridge logistic,2,local_lab_cov_l_a_mean,-0.3598755840046805,0.3598755840046805
film_key,Filmstock,Ridge logistic,3,local_lab_corr_l_a_mean,-0.34435441133122924,0.34435441133122924
film_key,Filmstock,Ridge logistic,4,local_lab_corr_l_b_sd,-0.22157141684627468,0.22157141684627468
film_key,Filmstock,Ridge logistic,5,color_spatial_var_lab_b,-0.18169079061581456,0.18169079061581456
film_key,Filmstock,Ridge logistic,6,halation_index_ring_minus_background,0.17464408456749458,0.17464408456749458
film_key,Filmstock,Ridge logistic,7,lab_corr_l_a,-0.17002852723177378,0.17002852723177378
film_key,Filmstock,Ridge logistic,8,rgb_corr_g_b,0.15356284330047462,0.15356284330047462
film_key,Filmstock,Ridge logistic,9,rgb_corr_r_g,-0.1517632447850681,0.1517632447850681
film_key,Filmstock,Ridge logistic,10,split_tone_distance_lab_ab,0.14806621033112355,0.14806621033112355
film_key,Filmstock,Ridge logistic,11,hue_teal_cyan_shadow_share,-0.1461471876576499,0.1461471876576499
film_key,Filmstock,Ridge logistic,12,local_lab_cov_l_b_sd,-0.14017053739959118,0.14017053739959118
film_key,Filmstock,Ridge logistic,13,lab_sd_a,0.13980069288240665,0.13980069288240665
film_key,Filmstock,Ridge logistic,14,color_spatial_range_rgb_r,0.13854131645847437,0.13854131645847437
film_key,Filmstock,Ridge logistic,15,lab_cov_a_b,0.13706523433322884,0.13706523433322884
film_key,Filmstock,Ridge logistic,16,hue_entropy_12bin,0.13617279596255763,0.13617279596255763
film_key,Filmstock,Ridge logistic,17,local_lab_cov_a_b_mean,0.12638016891123224,0.12638016891123224
film_key,Filmstock,Ridge logistic,18,halation_ring_red_excess_mean,0.12618794803540576,0.12618794803540576
film_key,Filmstock,Ridge logistic,19,color_spatial_var_lab_a,0.12405925063517474,0.12405925063517474
film_key,Filmstock,Ridge logistic,20,local_lab_corr_l_b_p90_abs,-0.11996392686784224,0.11996392686784224
film_key,Filmstock,Ridge logistic,21,local_lab_cov_a_b_abs_mean,0.11873912164880697,0.11873912164880697
film_key,Filmstock,Ridge logistic,22,local_lab_cov_a_b_sd,0.11803377047401147,0.11803377047401147
film_key,Filmstock,Ridge logistic,23,center_luma_mean,-0.11003405024081728,0.11003405024081728
film_key,Filmstock,Ridge logistic,24,palette_top2_lab_distance,0.10827483965402357,0.10827483965402357
film_key,Filmstock,Ridge logistic,25,highlight_saturation,0.10681376470110143,0.10681376470110143
film_key,Filmstock,Ridge logistic,26,midtone_fraction,-0.10661335839494124,0.10661335839494124
film_key,Filmstock,Ridge logistic,27,halation_bright_fraction,0.10029112971422079,0.10029112971422079
film_key,Filmstock,Ridge logistic,28,edge_density_canny,-0.0974052505744958,0.0974052505744958
film_key,Filmstock,Ridge logistic,29,color_spatial_range_lab_b,-0.09614078452307806,0.09614078452307806
film_key,Filmstock,Ridge logistic,30,hue_circular_variance,-0.09458363945955059,0.09458363945955059
film_key,Filmstock,Ridge logistic,31,hue_resultant_length,0.09458363945955056,0.09458363945955056
film_key,Filmstock,Ridge logistic,32,halation_ring_fraction,0.09435310524228102,0.09435310524228102
film_key,Filmstock,Ridge logistic,33,luma_kurtosis_excess,0.09083426529582506,0.09083426529582506
film_key,Filmstock,Ridge logistic,34,lab_sd_b,-0.09037431337942882,0.09037431337942882
film_key,Filmstock,Ridge logistic,35,local_lab_cov_l_b_p90_abs,-0.0893498411452434,0.0893498411452434
film_key,Filmstock,Ridge logistic,36,shadow_lab_l,-0.08607388322070449,0.08607388322070449
film_key,Filmstock,Ridge logistic,37,local_lab_cov_l_a_p90_abs,-0.07762154188278701,0.07762154188278701
film_key,Filmstock,Ridge logistic,38,hue_red_orange_share,-0.07687564000333348,0.07687564000333348
film_key,Filmstock,Ridge logistic,39,shadow_compression_ratio,-0.07660849824275101,0.07660849824275101
film_key,Filmstock,Ridge logistic,40,palette_mean_pairwise_lab_distance,0.07586512917203767,0.07586512917203767
light_key,Lighting,LASSO logistic,1,palette_within_cluster_lab_rmse,1.2853934848256698,1.2853934848256698
light_key,Lighting,LASSO logistic,2,fft_high_mid_power_ratio,-1.265208668887227,1.265208668887227
light_key,Lighting,LASSO logistic,3,saturation_mean,1.2559042644902336,1.2559042644902336
light_key,Lighting,LASSO logistic,4,hue_hist_12bin_06,-0.9606094848744015,0.9606094848744015
light_key,Lighting,LASSO logistic,5,local_lab_corr_a_b_sd,-0.8538582545347537,0.8538582545347537
light_key,Lighting,LASSO logistic,6,hue_hist_12bin_00,0.8324093383462323,0.8324093383462323
light_key,Lighting,LASSO logistic,7,halation_ring_red_excess_p95,0.7810751775851934,0.7810751775851934
light_key,Lighting,LASSO logistic,8,local_lab_corr_l_a_p90_abs,-0.7232168466478657,0.7232168466478657
