target,target_label,best_n_components_by_auc,rank,feature,vip,x_weight_component_1
light_key,Lighting,3,13,highlight_minus_shadow_warmth,1.5049610565722853,0.11788181011703208
light_key,Lighting,3,14,right_warmth_mean,1.488189092575989,0.11257786978216379
light_key,Lighting,3,15,highlight_lab_a,1.4819695838281903,0.11570351838340605
light_key,Lighting,3,16,lab_chroma_mean,1.4563417049858367,0.1108840279430494
light_key,Lighting,3,17,highlight_minus_shadow_lab_b,1.4539876587683038,0.11366948779112311
light_key,Lighting,3,18,hue_red_orange_share,1.4493125854981141,0.10945029353915167
light_key,Lighting,3,19,halation_ring_red_excess_mean,1.4428332823053993,0.11257912435630027
light_key,Lighting,3,20,midtone_warmth_rgb_r_minus_b,1.426583929086518,0.10388730194782111
light_key,Lighting,3,21,hue_hist_12bin_00,1.422367841226935,0.10860221327007108
light_key,Lighting,3,22,rgb_mean_b,1.4150978623842254,-0.10883438357833397
light_key,Lighting,3,23,local_lab_cov_a_b_abs_mean,1.4029498156732652,0.1065488988862545
light_key,Lighting,3,24,lab_mean_a,1.399556818348028,0.10727883080341148
light_key,Lighting,3,25,lab_cov_l_b,1.3977066255097126,0.1094538946263314
light_key,Lighting,3,26,saturation_mean,1.3965905370393252,0.10939340245865309
light_key,Lighting,3,27,midtone_red_excess,1.3910807735879613,0.10478685244842471
light_key,Lighting,3,28,rgb_corr_r_b,1.3855252752508231,-0.10838335388443611
light_key,Lighting,3,29,local_lab_cov_l_b_p90_abs,1.3774964682839894,0.10677231174445345
light_key,Lighting,3,30,local_lab_cov_l_b_abs_mean,1.3724488431023023,0.10636049801111222
light_key,Lighting,3,31,midtone_saturation,1.3659963757424112,0.10696248395635542
light_key,Lighting,3,32,local_lab_cov_l_b_mean,1.353233696006386,0.1038267271909296
light_key,Lighting,3,33,midtone_shadow_lab_b_delta,1.3491328360524952,0.1021754286897273
light_key,Lighting,3,34,rgb_corr_g_b,1.3427473883384775,-0.1035536119761419
light_key,Lighting,3,35,lab_corr_l_b,1.342196563731833,0.10433161535969296
light_key,Lighting,3,36,local_lab_corr_l_b_mean,1.3353466701556522,0.10116389327559928
light_key,Lighting,3,37,local_lab_cov_a_b_mean,1.3236053860797425,0.1000308669520128
light_key,Lighting,3,38,color_spatial_range_lab_b,1.3206581787408174,0.10065240157768274
light_key,Lighting,3,39,midtone_lab_b,1.3202834043661822,0.09246658745561052
light_key,Lighting,3,40,hue_hist_12bin_06,1.3201030493828436,-0.09743853535470129
scan_key,Scan,7,1,texture_highpass_mad,2.088042540714579,0.10916651197232626
scan_key,Scan,7,2,laplacian_variance,1.578349021664308,0.061395278160910914
scan_key,Scan,7,3,shadow_rolloff_ratio,1.515159359099677,-0.014504527083576635
scan_key,Scan,7,4,shadow_lab_l,1.4651427397888275,-0.18158690389959103
scan_key,Scan,7,5,deep_shadow_fraction,1.414607009750287,0.19138096249706743
scan_key,Scan,7,6,local_lab_corr_a_b_mean,1.4112402121287815,-0.04407124028080785
