model_key,feature,ss_total,condition_share,run_block_share,condition_by_run_share,within_run_replicate_share,condition_to_seed_variance_ratio,n_conditions,n_runs,n_replicates_per_run
chatgpt_image_2,midtone_red_excess,0.6251898004506506,0.8294625057134343,0.000948767451263329,0.06876731463117498,0.10082141220412726,4.863813140819537,24,3,2
chatgpt_image_2,midtone_fraction,8.58605233133858e-07,0.13647379943281338,0.007388937368878106,0.3114696710386487,0.5446675921596281,0.15804245353896482,24,3,2
chatgpt_image_2,highlight_lab_l,15647.231723360957,0.5413494889775555,0.01607444946207536,0.25542257258149254,0.187153488978877,1.1803093553101123,24,3,2
chatgpt_image_2,highlight_lab_a,4215.217485056045,0.765994393380019,0.004788285309020143,0.07949907471928527,0.14971824659167549,3.273401883160749,24,3,2
chatgpt_image_2,highlight_lab_b,17199.53454851382,0.8326807509668328,0.0012382719511723804,0.061446982887222605,0.10463399419477246,4.9765986626067855,24,3,2
chatgpt_image_2,highlight_warmth_rgb_r_minus_b,2.318114066741789,0.8359575669406932,0.0010443932388249173,0.05885906518247897,0.10413897463800291,5.09598371196108,24,3,2
chatgpt_image_2,highlight_saturation,3.2747206826861612,0.8326415136373138,0.007398384515209248,0.07424049067691316,0.0857196111705639,4.975197444322469,24,3,2
chatgpt_image_2,highlight_red_excess,0.9095453064890137,0.8078213799930632,0.0028783366479825253,0.07040488665722729,0.11889539670172687,4.203492459067013,24,3,2
chatgpt_image_2,highlight_minus_shadow_lab_a,4826.47976873371,0.7144105300593536,0.007479278588652007,0.09629022861733426,0.18181996273466017,2.50152966146766,24,3,2
chatgpt_image_2,highlight_minus_shadow_lab_b,19352.388308310197,0.8097067797955063,0.0025908131517484627,0.07749483433600582,0.11020757271673932,4.255047967160239,24,3,2
chatgpt_image_2,highlight_minus_shadow_warmth,2.5548458911319907,0.8180964167551886,0.002291296733248216,0.06573883217282002,0.11387345433874319,4.497417819714796,24,3,2
chatgpt_image_2,highlight_minus_shadow_saturation,5.311079593819461,0.4255972235807856,0.0025950511456920254,0.21671186726309102,0.3550958580104314,0.7409386602097017,24,3,2
chatgpt_image_2,split_tone_distance_lab_ab,15279.412659264177,0.7805989340613714,0.0026961530797851006,0.09001556942383224,0.12668934343501137,3.557862997255091,24,3,2
chatgpt_image_2,midtone_shadow_lab_b_delta,4678.765849085896,0.6703174377509695,0.006134013231185568,0.09436558432001797,0.22918296469782695,2.033220784193723,24,3,2
chatgpt_image_2,highlight_midtone_lab_b_delta,12518.42213030871,0.7056772984288195,0.0065565106161504265,0.13052392892654888,0.15724226202848143,2.397631221314929,24,3,2
chatgpt_image_2,luma_skewness,43.4092406757307,0.5216347441590273,0.0043631547109851745,0.27577981497610465,0.1982222861538832,1.0904528240496603,24,3,2
chatgpt_image_2,luma_kurtosis_excess,385.5001153464347,0.45939278928691424,0.012348043389012712,0.30907015504156,0.21918901228251317,0.8497718494745085,24,3,2
chatgpt_image_2,shadow_compression_ratio,0.22110371810778467,0.5452322113758526,0.019057023369584727,0.19578546360299257,0.2399253016515699,1.198924429158442,24,3,2
chatgpt_image_2,highlight_compression_ratio,2.7666094234527168,0.4144315549029455,0.00024343009568078745,0.2729136842906321,0.31241133071074156,0.7077422944712397,24,3,2
chatgpt_image_2,highlight_rolloff_ratio,6.640559732295736,0.20299307110913908,0.04541963660785781,0.3128036300115887,0.4387836622714144,0.25469423633697946,24,3,2
chatgpt_image_2,shadow_rolloff_ratio,0.1932911720112373,0.3282349000183389,0.0031552153973948265,0.24113736562272362,0.4274725189615427,0.48861558903149266,24,3,2
chatgpt_image_2,upper_lower_luma_spread_ratio,626.6694210376834,0.4011507669103144,0.0009292357665792333,0.23402443487300809,0.36389556245009813,0.6698693840528588,24,3,2
chatgpt_image_2,midtone_luma_width_p75_p25,1.4746802038646645,0.5016122780728977,0.013101562922379961,0.27502304389505694,0.21026311510966544,1.0064699750895287,24,3,2
chatgpt_image_2,extreme_tail_luma_width,1.4501562487819184,0.2337733986372331,0.011825929721912654,0.2806534940106002,0.4737471776302539,0.3050969494160828,24,3,2
chatgpt_image_2,lower_tail_luma_width_p10_p01,0.018316833726245728,0.6585533292750255,0.0016104308456373559,0.09254029268543956,0.2472959471938975,1.9287150402631146,24,3,2
chatgpt_image_2,upper_tail_luma_width_p99_p90,1.4283599990215148,0.3040850993794527,0.012213119716126835,0.2980987206477258,0.38560306025669466,0.43695730484905554,24,3,2
chatgpt_image_2,fft_low_freq_power_share,0.6699576718435426,0.37196667134149486,0.0018528698415521882,0.2693431956167801,0.3568372632001731,0.5922721842422357,24,3,2
chatgpt_image_2,fft_mid_freq_power_share,0.18576649679072052,0.41336403161505025,0.008194290900441928,0.22316007166269636,0.3552816058218113,0.704634652309286,24,3,2
chatgpt_image_2,fft_high_freq_power_share,0.03890492335379037,0.5298961544323672,0.008288238644774586,0.17056510317550214,0.29125050374735617,1.1271895761510677,24,3,2
chatgpt_image_2,fft_high_mid_power_ratio,0.7223726676480406,0.4743988705842855,0.0020725099645186955,0.23350302119881425,0.2900255982523815,0.9025834307313074,24,3,2
chatgpt_image_2,fft_high_low_power_ratio,0.16620388774811956,0.5074595775520266,0.0033377098900176086,0.21210241021713885,0.27710030234081684,1.0302902146181296,24,3,2
chatgpt_image_2,fft_radial_loglog_slope,6.895405897331051,0.6073545491128183,0.0051345330554715875,0.16565993230044787,0.22185098553126248,1.5468269089594733,24,3,2
chatgpt_image_2,fft_low_freq_log_power_mean,29.526204924181542,0.5656541009288197,0.0016976564882379855,0.20690855993689938,0.22573968264604358,1.3023125166795229,24,3,2
chatgpt_image_2,fft_mid_freq_log_power_mean,19.78815494305986,0.4801076760160223,5.4800966752021024e-05,0.28558489533274517,0.23425262768448,0.9234752156695027,24,3,2
